,group_id,seq,is_chiitoi
11,015fd1b80,"['E_Round' 'W_Seat' 'WOoA20' 'tie' 'did_riichi' '0_OR' 'D9p' 'ANorth'
 'LEast' 'PSouth' 'RSouth' 'ARed' 'L9m' 'P8s' 'RRed' 'A8s' 'L8m' 'PGreen'
 'RWhite' 'A4p' 'LNorth' 'P4s' 'R8p' 'A2s' 'L1s' 'P8s' 'R6s' 'A3m' 'L2p'
 'P2p' 'R2p' 'L3s' 'PEast' 'R3m' 'L5s' 'PWest' 'RWest' 'L6s' 'P5p']",1
12,016b307310,"['S_Round' 'S_Seat' 'WU20' '4th' 'no_riichi' '0_OR' 'DSouth' 'L3p' 'P9p'
 'R3s' 'A9p' 'LWest' 'P1m' 'R8s' 'A1s' 'L6m' 'PSouth' 'R2m' 'AWest' 'L3s'
 'P5p' 'R6s' 'AWhite' 'L2m' 'P4m' 'R5m' 'A7m' 'L4m' 'P5m' 'R8m' 'A6p'
 'LNorth' 'P4p' 'A3p' 'L5m' 'P3p' 'R9m' 'A5m' 'L7m' 'P5s' 'R3m' 'A4m'
 'L6m' 'P4s' 'R2s' 'A6s' 'L1m' 'PSouth' 'R6m' 'A6p' 'LWhite' 'P4s' 'R4s'
 'A8s' 'LGreen' 'A2p' 'LGreen' 'P9s' 'R3m' 'A9m' 'L9s' 'P4m' 'R2m' 'AWest'
 'L7p' 'P1p']",1
13,016b30736,"['S_Round' 'N_Seat' 'WOoA20' '4th' 'no_riichi' '1_OR' 'D7s' 'REast' 'A1m'
 'LEast' 'PGreen' 'RWest' 'ARed' 'L1m' 'PWhite' 'RWest' 'A5s' 'L9s'
 'PNorth' 'R1m' 'A4s' 'L5p' 'P2s' 'RSouth' 'A5s' 'L2m' 'P4p' 'RGreen'
 'A4m' 'LNorth' 'P3p' 'R3m' 'A3s' 'L2s' 'P2m' 'RWest' 'A3m' 'L5m' 'P5m'
 'R1m' 'A9s' 'P3m']",1
14,017070c86,"['S_Round' 'W_Seat' 'WU20' '4th' 'no_riichi' '0_OR' 'D5s' 'AWest' 'L9p'
 'PNorth' 'R1p' 'AWest' 'L1m' 'P8m' 'RWest' 'ANorth' 'L2p' 'P6m' 'R1m'
 'A2s' 'LGreen' 'PRed' 'REast' 'A9s' 'LRed' 'P9s' 'RRed' 'A6p' 'L2m' 'P4m'
 'RGreen' 'A7p' 'L6m' 'P2m' 'R1s' 'A3p' 'L9p' 'P9p' 'R2s' 'A3p' 'L2s'
 'P2p' 'R4s' 'A9s' 'L8p' 'P2m' 'R2p' 'ANorth' 'L3s' 'PRed' 'R8s' 'A4m'
 'L4p' 'P3p' 'R4p' 'A6p' 'L8p' 'P5p' 'R6p' 'A3s' 'L6p' 'PGreen' 'R2p'
 'A7p' 'L1s' 'PSouth']",1
15,01c3ae772,"['E_Round' 'S_Seat' 'WOoA20' '4th' 'did_riichi' '0_OR' 'DNorth' 'LWhite'
 'P9s' 'R9m' 'A1p' 'LRed' 'P9p' 'R1m' 'AGreen' 'L1s' 'P2s' 'RNorth' 'A9p'
 'L8p' 'P6s' 'RWhite' 'A1m' 'L7m' 'P7m' 'RGreen' 'A9m' 'L3p' 'P3p']",1
16,01c3ae773,"['E_Round' 'E_Seat' 'WOoA20' '2nd' 'no_riichi' '0_OR' 'D5p' 'P9m' 'RWhite'
 'AEast' 'LWest' 'A4s' 'L1m' 'P1s' 'RSouth' 'A1m' 'LSouth' 'P6m' 'R7p'
 'A9m' 'L9p' 'P3m']",1
17,01d6c21b9,"['S_Round' 'E_Seat' 'WOoA20' '2nd' 'no_riichi' '0_OR' 'D1m' 'PWest' 'R1p'
 'AEast' 'LWest' 'P9s' 'RNorth' 'AWest' 'L2s' 'P9s' 'R2s' 'A9m' 'L9s'
 'P3m' 'R8m' 'ARed' 'L8s' 'P6m' 'R5p' 'A9s' 'L4p' 'P7m']",1
18,0258cde911,"['S_Round' 'W_Seat' 'WOoA20' '1st' 'did_riichi' '0_OR' 'DRed' 'ANorth'
 'LNorth' 'PEast' 'RWest' 'AGreen' 'LWest' 'PRed' 'R9s' 'ASouth' 'LRed'
 'PWest' 'RRed' 'AWhite' 'LWhite' 'PSouth' 'RNorth' 'A2m' 'L2m' 'PEast'
 'RSouth' 'A2p' 'L8s' 'P1m' 'R4s' 'A1p' 'L2m' 'P5p' 'R7s' 'A8s' 'LGreen'
 'P2s' 'R9m' 'AEast' 'LSouth' 'P4s']",1
19,0290824f1,"['E_Round' 'W_Seat' 'WOoA20' '1st' 'no_riichi' '0_OR' 'DEast' 'A9m' 'L9m'
 'PNorth' 'RNorth' 'AWest' 'L1p' 'PSouth' 'R9s' 'A8m' 'LNorth' 'P8p' 'R9m'
 'ARed' 'LWest' 'P9p' 'R8m' 'A8m' 'LRed' 'P7m' 'R1s' 'A4p' 'L8m' 'PSouth'
 'R3p' 'A5p' 'L2m' 'PWhite' 'R2s' 'AWhite' 'L3s' 'P7m' 'RNorth' 'A1m'
 'L1m' 'P4m']",1
20,02b76f123,"['E_Round' 'S_Seat' 'WU20' '4th' 'no_riichi' '1_OR' 'D1s' 'LNorth' 'P1p'
 'R9s' 'ASouth' 'L1m' 'P9m' 'RWest' 'ARed' 'LSouth' 'P7p' 'RWhite'
 'AWhite' 'L8p' 'P5m' 'RRed' 'A1p' 'L1s' 'P2m' 'RGreen' 'A2s' 'L8p' 'P2p'
 'REast' 'A9p' 'L8m' 'P1m' 'R6s' 'ARed' 'L4m' 'P2p' 'R4m' 'A6m' 'L3m'
 'A5s' 'LEast' 'PWest' 'R3s' 'A7p' 'LWest' 'PRed' 'R1p' 'A5p' 'L1m'
 'PSouth' 'RNorth' 'A7m' 'L7s' 'P7s' 'R8m' 'AGreen' 'PNorth' 'R7m' 'AWest'
 'PGreen' 'R8p' 'AEast' 'PGreen' 'R4m' 'A8p' 'PWhite']",1
21,02f4e53d6,"['S_Round' 'N_Seat' 'WOoA20' '3rd' 'no_riichi' '0_OR' 'D2m' 'R1p' 'ANorth'
 'LEast' 'PSouth' 'RWest' 'A1p' 'L1s' 'PNorth' 'RRed' 'A2s' 'LSouth'
 'PRed' 'R1m' 'A6s' 'L8p' 'PWhite' 'RWhite' 'ASouth' 'L7p' 'P3s']",1
22,033a30727,"['E_Round' 'W_Seat' 'WOoA20' '1st' 'no_riichi' '0_OR' 'D5p' 'A9p' 'L9p'
 'PWhite' 'L9s' 'PEast' 'R9p' 'A2s' 'L3p' 'PEast' 'RWest' 'A2p' 'L8p'
 'P7m' 'R1m' 'A5p' 'L1m' 'P1p' 'RGreen' 'A9s' 'L8s' 'PGreen' 'R4s'
 'AGreen' 'L2s' 'P5p' 'R1p' 'AWhite' 'L4p' 'P6s']",1
