group_id,seq,is_chiitoi
001ada9412,"[34, 40, 45, 79, 0, 17, 29, 28, 29, 8, 27, 33, 18, 19, 32, 13, 31, 6]",1
001ada9413,"[34, 41, 44, 79, 17, 32, 28, 6, 14]",0
001ada9420,"[34, 38, 44, 59, 28, 32, 30, 19]",0
001ada9421,"[34, 39, 44, 59, 29, 18, 17, 8]",0
001ada9422,"[34, 40, 44, 59, 33, 29, 28, 26]",0
001ada9423,"[34, 41, 45, 59, 31, 18, 18, 31, 6]",0
001ada9430,"[34, 38, 44, 77, 17, 31, 18, 8, 19, 26, 17, 29, 10, 29, 28]",0
001ada9431,"[34, 39, 44, 77, 28, 0, 17, 8, 26, 26, 25, 10, 10, 28, 32]",0
001ada9432,"[34, 40, 44, 77, 0, 30, 19, 7, 3, 29, 8, 21, 6, 15, 12, 32, 8]",0
001ada9433,"[34, 41, 44, 77, 31, 9, 10, 18, 12, 16, 25, 29, 31, 9, 9, 30]",0
002003b500,"[34, 38, 44, 51, 25, 28, 9]",0
002003b501,"[34, 39, 44, 51, 30, 33, 31]",0
002003b502,"[34, 40, 44, 51, 17, 27]",0
002003b503,"[34, 41, 44, 51, 29, 26]",0
002003b510,"[34, 38, 44, 78, 29, 31, 33, 22, 14]",0
002003b511,"[34, 39, 44, 78, 26, 31, 15, 0, 8, 18]",0
002003b512,"[34, 40, 44, 78, 9, 29, 8, 30]",0
002003b513,"[34, 41, 44, 78, 0, 28, 20, 24, 26]",0
002003b520,"[34, 38, 44, 76, 28, 32, 33, 29, 1, 0, 31, 10]",0
002003b521,"[34, 39, 44, 76, 22, 2, 4, 25, 21, 18, 11, 30, 5]",0
002003b522,"[34, 40, 45, 76, 0, 17, 10, 31, 6, 24, 13, 29, 21, 7, 20, 28, 11]",0
002003b523,"[34, 41, 44, 76, 0, 1, 12]",0
002003b530,"[34, 38, 44, 57, 26, 27, 27, 18, 20]",0
002003b531,"[34, 39, 44, 57, 28, 18, 10, 8, 17]",0
002003b532,"[34, 40, 44, 57, 8, 26, 18, 28, 21, 16]",0
002003b533,"[34, 41, 44, 57, 17, 29, 0]",0
002003b540,"[34, 38, 44, 64, 30, 33, 32, 25, 23, 33, 2]",0
002003b541,"[34, 39, 45, 64, 28, 0, 9, 27, 31, 31, 29, 15, 25, 26]",0
002003b542,"[34, 40, 44, 64, 9, 33, 26, 0, 17]",0
002003b543,"[34, 41, 44, 64, 17, 31, 33, 26, 0]",0
002003b550,"[35, 38, 44, 62, 30, 29, 28, 31, 29, 32, 1, 19, 24, 27, 27, 27, 9, 3, 3]",0
002003b551,"[35, 39, 44, 62, 2, 12]",0
002003b552,"[35, 40, 44, 62, 0, 0, 31, 0, 32]",0
002003b553,"[35, 41, 45, 62, 29, 9, 25, 5, 20, 19, 16, 3, 4, 1, 8, 8, 26]",0
002003b560,"[35, 38, 44, 48, 8, 28, 32, 17, 9, 18, 0]",0
002003b561,"[35, 39, 44, 48, 0, 15, 8, 29, 11, 32, 15, 22]",0
002003b562,"[35, 40, 44, 48, 31, 7, 8, 26, 22, 28, 7, 2, 26, 24]",0
002003b563,"[35, 41, 44, 48, 18, 31, 28, 0, 13, 10, 21]",0
002003b570,"[35, 38, 44, 60, 30, 32, 18, 9, 17]",0
002003b571,"[35, 39, 44, 60, 27, 18, 0, 10, 30, 23, 7, 22]",0
002003b572,"[35, 40, 44, 60, 9, 0, 32]",0
002003b573,"[35, 41, 44, 60, 27, 32, 13, 31, 28]",0
002003b580,"[35, 38, 44, 77, 27, 8, 1, 6, 0, 28]",0
002003b581,"[35, 39, 44, 77, 8, 9, 28, 5, 9, 7, 20, 15, 30]",0
002003b582,"[35, 40, 44, 77, 17, 29, 8, 33, 31]",0
002003b583,"[35, 41, 44, 77, 29, 30, 18, 33, 4, 12, 28, 14, 26, 29, 1, 7, 33]",0
002003b590,"[35, 38, 44, 69, 29, 32, 1, 4, 0, 1, 28, 26]",0
002003b591,"[35, 39, 44, 69, 9, 27, 30, 32, 4, 19, 26, 10, 31, 17, 32, 29]",0
002003b592,"[35, 40, 44, 69, 18, 19, 33, 7, 28, 16, 11, 23, 18, 14, 29]",0
002003b593,"[35, 41, 44, 69, 9, 28]",0
0026948100,"[34, 38, 44, 63, 8, 25, 31, 16, 32, 24, 1]",0
0026948101,"[34, 39, 44, 63, 27, 31, 18, 32, 17, 7]",0
0026948102,"[34, 40, 44, 63, 26, 30, 33, 32, 23, 33, 29]",0
0026948103,"[34, 41, 44, 63, 31, 13, 16, 3, 32, 2, 16]",0
0026948110,"[34, 38, 44, 79, 29, 32, 33, 3, 1, 14, 17, 26, 19, 19, 16, 28]",0
00269481100,"[35, 38, 44, 63, 18, 0, 31, 33, 3, 26, 9, 19, 17, 30]",0
00269481101,"[35, 39, 44, 63, 27, 17, 8, 30, 28, 25]",0
00269481102,"[35, 40, 44, 63, 29, 7, 22, 19, 30, 2, 1, 14, 15, 8, 33, 10, 23, 26]",0
00269481103,"[35, 41, 44, 63, 28, 20, 12]",0
0026948111,"[34, 39, 44, 79, 32, 29, 18, 8, 16, 19, 26]",0
0026948112,"[34, 40, 44, 79, 28, 29, 10, 19, 22, 27, 24, 20, 10, 26]",0
0026948113,"[34, 41, 44, 79, 27, 29, 33, 3, 16, 18, 15, 30, 26, 20]",0
0026948120,"[34, 38, 44, 77, 19, 8, 33, 5, 16, 24]",0
0026948121,"[34, 39, 44, 77, 30, 18, 31, 27, 10, 4, 21]",0
0026948122,"[34, 40, 44, 77, 27, 33, 32, 8, 7]",0
0026948123,"[34, 41, 44, 77, 28, 17, 27, 9, 5]",0
